party_size,private_hand_size,total_dealt,total,method,samples,seed,small_shared_hand_cards,small_shared_hand_exact_ability_probability,private_any_character_probability,private_any_ci95_low,private_any_ci95_high,private_all_characters_probability,private_all_ci95_low,private_all_ci95_high,private_mean_capable_characters,equal_budget_pool_cards,equal_budget_pool_ability_probability,pool_ci95_low,pool_ci95_high
4,8,32,38,monte_carlo,10000,20261323,8,0.7141944405077669,0.9963,0.9949044615671903,0.9973143676473786,0.2301,0.2219550035689812,0.23845228636651714,2.8569,32,1,0.9996159875222334,0.9999999999999999
4,8,32,39,monte_carlo,10000,20261323,8,0.6599974233864423,0.9939,0.9921727539295201,0.995247918544942,0.153,0.14607759380703622,0.16018891085253373,2.6351,32,1,0.9996159875222334,0.9999999999999999
4,8,32,40,monte_carlo,10000,20261323,8,0.6440404051276337,0.9965,0.99513643900608,0.9974822366034979,0.1214,0.11514377079069572,0.12794700345746904,2.5847,32,1,0.9996159875222334,0.9999999999999999
4,8,32,41,monte_carlo,10000,20261323,8,0.5273106260460018,0.9655,0.9617402766813848,0.9689022077018145,0.0498,0.04570657916787368,0.0542391856671073,2.1171,32,1,0.9996159875222334,0.9999999999999999
4,8,32,42,monte_carlo,10000,20261323,8,0.4517489963797849,0.9326,0.9275180281985496,0.9373497242056867,0.0214,0.018741996184608804,0.024425580559109324,1.8014,32,1,0.9996159875222334,0.9999999999999999
4,8,32,43,monte_carlo,10000,20261323,8,0.3791304746476973,0.8798,0.8732798800390115,0.886028424082877,0.0091,0.007418150758842581,0.011158872691828609,1.5119,32,1,0.9996159875222334,0.9999999999999999
4,8,32,44,monte_carlo,10000,20261323,8,0.3080873561028102,0.7999,0.7919440249798805,0.8076256443359552,0.003,0.002102274095435337,0.0042794343074646045,1.2235,32,1,0.9996159875222334,0.9999999999999999
4,8,32,45,monte_carlo,10000,20261323,8,0.24896006667568946,0.7138,0.704860331828007,0.7225754644365,0.0007,0.00033912200289172947,0.0014443528574059384,0.9981,32,1,0.9996159875222334,0.9999999999999999
4,8,32,46,monte_carlo,10000,20261323,8,0.1908155380561105,0.6092,0.5995963888211951,0.6187197428536605,0,0,0.00038401247776654115,0.7741,32,1,0.9996159875222334,0.9999999999999999
4,8,32,47,monte_carlo,10000,20261323,8,0.1445528416067677,0.4927,0.48290572907093726,0.5024998775112381,0,0,0.00038401247776654115,0.5783,32,0.9998,0.9992709889064336,0.9999451522207908
4,8,32,48,monte_carlo,10000,20261323,8,0.10009897305538597,0.3586,0.3492559943180917,0.36805260441062054,0,0,0.00038401247776654115,0.3978,32,0.998,0.9969126251000202,0.9987048984721243
4,8,32,49,monte_carlo,10000,20261323,8,0.06963231299303564,0.2665,0.2579251452717645,0.2752541885553524,0,0,0.00038401247776654115,0.2806,32,0.9839,0.9812407998354532,0.9861875528885643
4,8,32,50,monte_carlo,10000,20261323,8,0.048711510506145105,0.1886,0.1810527865512636,0.19638637641988937,0,0,0.00038401247776654115,0.1925,32,0.9995,0.9988299568100467,0.9997864147246645
4,9,36,2,monte_carlo,10000,20261324,9,0.13388493859082096,0.5044,0.49460057143170555,0.5141960492584899,0,0,0.00038401247776654115,0.5343,36,0.9189,0.913387169489392,0.9240911048567353
4,9,36,3,monte_carlo,10000,20261324,9,0.2889625050902735,0.813,0.8052380603102803,0.8205215478786377,0.0003,0.00010203035287762114,0.0008817517174022601,1.1665,36,0.9926,0.9907207327826477,0.9941009381242567
4,9,36,4,monte_carlo,10000,20261324,9,0.4153445194409443,0.9372,0.932275042689145,0.9417891768002961,0.0084,0.0067903793044075565,0.010387181763732508,1.6822,36,0.9998,0.9992709889064336,0.9999451522207908
4,9,36,5,monte_carlo,10000,20261324,9,0.5404810121586527,0.9793,0.9763198044414113,0.9819120811974015,0.0486,0.044555994280372054,0.052990692184555564,2.1585,36,1,0.9996159875222334,0.9999999999999999
4,9,36,6,monte_carlo,10000,20261324,9,0.6375605664401441,0.9939,0.9921727539295201,0.995247918544942,0.1255,0.11915028085143753,0.13213734449440961,2.5707,36,1,0.9996159875222334,0.9999999999999999
4,9,36,7,monte_carlo,10000,20261324,9,0.7323675693083105,0.999,0.9981600356239995,0.9994567199231894,0.2361,0.22787850917606348,0.2445241726097017,2.9117,36,1,0.9996159875222334,0.9999999999999999
4,9,36,8,monte_carlo,10000,20261324,9,0.8050872488234408,0.9999,0.9994337165442557,0.999982347780473,0.3821,0.37262334047843,0.39166720966382723,3.2176,36,1,0.9996159875222334,0.9999999999999999
